Price,Car Model,Year,Kilometers,Body Type,Exterior Color,Doors,Interior Color,Fuel Type,Horsepower,No. of Cylinders,Transmission Type,Warranty,Target Market,Seller type,Steering Side,Car Link,Seating Capacity
"AED 286,999",Mercedes-Benz CLE-Class CLE200,2024,"12,000 km",Coupe,White,3 door,Other Color,Petrol,200 - 299 HP,4,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/cle-class/2025/1/13/5679-pm-cle-200-0-downpayment-agency-warra-2-338---f6ad069c4e5543989733bf749fdac9c4/,
"AED 240,000",Mercedes-Benz S-Class S 400 4Matic,2021,"164,000 km",Sedan,Black,4 door,Brown,Diesel,Unknown,Unknown,Automatic Transmission,No,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2025/2/3/mercedes-benz-s-class-s-400-diesel-12-723---530c36ca06ec480aab118c459c949b21/,5 Seater
"AED 79,950",Alfa Romeo Giulia Veloce,2018,"86,692 km",Sedan,Black,4 door,Beige,Petrol,200 - 299 HP,4,Automatic Transmission,Yes,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/alfa-romeo/giulia/2024/11/26/aed-1322-pm-0-downpayment-veloce-2-years-w-2-986---49d8ac45c4794f8abb70535d1fd5a5a1/,5 Seater
"AED 36,000",Cadillac Escalade Platinum,2006,"51,500 km",SUV,Black,4 door,Beige,Petrol,400 - 499 HP,8,Automatic Transmission,Does not apply,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/cadillac/escalade/2025/1/30/cadalic-escalade-2006-fresh-japan-import-o-2-413---3aa4c240ee0648769ef5b7695b7056f4/,7 Seater
"AED 132,999",Maserati Quattroporte Other,2019,"55,000 km",Sedan,White,4 door,Brown,Petrol,300 - 399 HP,6,Automatic Transmission,No,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/maserati/quattroporte/2025/1/23/2644-pm-quattroporte-0-downpayment-low-kms-2-422---06bd7e7bf43f496cb1ed00ed2b4b9b9d/,
"AED 203,999",Jeep Wrangler Unlimited Rubicon,2024,0 km,SUV,Grey,4 door,Black,Petrol,200 - 299 HP,4,Automatic Transmission,Does not apply,Export Only,,,https://uae.dubizzle.com/motors/used-cars/jeep/wrangler-unlimited/2025/2/3/my2424-jeep-wrangler-unlimited-rubicon-xtr-2-613---c57a9bb01c2147d69d9ba6644f40d9f5/,5 Seater
Not Found,Not Found,Not Found,Not Found,,,,,,,,,,,,,https://uae.dubizzle.com/motors/used-cars/porsche/,
"AED 69,999",Mitsubishi Outlander Other,2022,0 km,SUV,White,4 door,Black,Petrol,100 - 199 HP,4,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/mitsubishi/outlander/2025/1/17/1371-pm-outlander-0-downpayment-enjoy-5s-2-546---aa0575ce37ec4d4eb88e32afaf4a0cf5/,
"AED 69,999",MINI Cooper S,2020,"88,000 km",Coupe,Silver,2 door,Black,Petrol,100 - 199 HP,3,Automatic Transmission,Yes,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/mini/cooper/2025/1/10/1469-pm-cooper-0-downpayment-excellent-con-2-894---74419c514b6344de87c328af25063a5c/,5 Seater
"AED 174,999",Mercedes-Benz A-Class A 200,2024,"8,000 km",Sedan,White,4 door,,Petrol,100 - 199 HP,4,Automatic Transmission,Yes,UAE (can be exported),Dealer,,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/a-class/2025/1/10/3427-pm-a200-0-downpayment-agency-warranty-2-122---89ffb561aebc4b3f8b816448a736a470/,5 Seater
"AED 164,999",Mercedes-Benz CLA AMG CLA 35,2020,"72,000 km",Sedan,White,4 door,Black,Petrol,300 - 399 HP,4,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/cla/2025/1/13/3290-pm-cla-0-downpayment-35-amg-unique-co-2-459---310530f9145f4ea38f9778a4c9e10561/,
"AED 104,999",Tesla Model 3 Standard,2021,"88,000 km",Sedan,White,4 door,Black,Electric,300 - 399 HP,,Automatic Transmission,Yes,UAE (can be exported),Dealer,,https://uae.dubizzle.com/motors/used-cars/tesla/model-3/2025/1/22/2056-pm-model-3-0-downpayment-tesla-warran-2-521---f43ad2d2bb9149a58efc68c47f22b639/,
"AED 149,999",Jetour T2 Other,2024,"1,500 km",SUV,Grey,4 door,Black,Petrol,200 - 299 HP,4,Automatic Transmission,Yes,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/jetour/t2/2024/12/27/2937-pm-t2-0-downpayment-amazing-condition-2-267---c90be949ce5041508f7f39d2d0d1a24f/,5 Seater
"AED 294,999",Jeep Grand Wagoneer Other,2023,0 km,SUV,Black,4 door,Black,Petrol,500 - 599 HP,6,Automatic Transmission,Yes,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/jeep/grand-wagoneer/2025/2/3/5yrs-or-100k-km-wnty-and-5yrs-service-2023-2-320---3945c36836b849bba278bd7c41526f07/,7 Seater
Not Found,Not Found,Not Found,Not Found,,,,,,,,,,,,,https://uae.dubizzle.com/motors/used-cars/hyundai/,
"AED 284,999",RAM 1500 Rebel Crew Cab,2025,0 km,Pick Up Truck,Gold,4 door,Black,Petrol,400 - 499 HP,6,Automatic Transmission,Yes,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/ram/1500/2025/2/3/2025-ram-1500-rebel-x-4x4-30tt-hurricane-g-2-637---b4001631b6f340fdac88cfe2d4889337/,5 Seater
"AED 55,999",Mazda 6 Sport,2022,"52,000 km",Sedan,Grey,4 door,Beige,Petrol,200 - 299 HP,4,Automatic Transmission,No,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/mazda/6/2025/1/3/mazda-6-2022-gcc-very-clean-12-268---8e84154f00ee4661b6d1a41026033337/,5 Seater
Not Found,Not Found,Not Found,Not Found,,,,,,,,,,,,,https://uae.dubizzle.com/motors/used-cars/gmc/,
"AED 59,111",Renault Koleos LE,2018,"103,000 km",SUV,White,5+ doors,White,Petrol,100 - 199 HP,4,Automatic Transmission,Yes,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/renault/koleos/2024/12/4/only-960x60-monthly-full-service-history-e-2-280---77a26904205440089a5dffb7a97e09ff/,5 Seater
"AED 299,999",Audi Q7 Other,2024,0 km,SUV,Black,4 door,Brown,Petrol,200 - 299 HP,4,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/audi/q7/2025/1/4/5875-pm-q7-0-downpayment-agency-warranty-b-2-718---5c80b4b1dca14183971f0f3efb1a8895/,
Not Found,Not Found,Not Found,Not Found,,,,,,,,,,,,,https://uae.dubizzle.com/motors/used-cars/honda/,
"AED 87,999",Volkswagen Touareg R-Line,2018,"103,000 km",SUV,Blue,5+ doors,Beige,Petrol,200 - 299 HP,6,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/volkswagen/touareg/2024/10/19/2056-pm-touareg-r-line-0-downpayment-excel-2-314---9f45271402704e068afcfba8ac4a52ea/,
Not Found,Not Found,Not Found,Not Found,,,,,,,,,,,,,https://uae.dubizzle.com/motors/used-cars/chevrolet/,
"AED 111,999",BMW 3-Series 320i,2022,"117,000 km",Sedan,Grey,4 door,Brown,Petrol,100 - 199 HP,4,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/bmw/3-series/2024/11/29/2252-pm-320i-0-downpayment-agency-warranty-2-431---9bfcf2deca13456aa3528bef71d83f50/,
"AED 124,999",Mercedes-Benz S-Class S 400,2016,"55,000 km",Sedan,White,4 door,Black,Petrol,300 - 399 HP,6,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2024/12/11/2969-pm-4-years-s-class-400-amg-0-downpaym-2-630---c47b5a893b1f42579e95276b54cbc1d2/,
"AED 164,999",Mercedes-Benz CLS-Class CLS 350,2019,"97,000 km",Sedan,White,4 door,Black,Petrol,200 - 299 HP,4,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/cls-class/2025/1/20/3329-pm-cls-350-0-downpayment-excellent-co-2-662---86b0a1cc05844d769850cdf1027875ce/,
"AED 106,500",Jaguar F-Pace R-Sport,2020,"119,000 km",SUV,Red,4 door,,Petrol,200 - 299 HP,4,Automatic Transmission,No,UAE (can be exported),Owner,,https://uae.dubizzle.com/motors/used-cars/jaguar/f-pace/2025/2/2/jaguar-f-pace-2020-r-sport-25t-awd-gcc-spe-2-816---2a60b375480043f4b8a0adffa8fb9001/,5 Seater
"AED 119,999",Volkswagen T-Roc R-Line,2024,"5,000 km",SUV,White,4 door,Black,Petrol,100 - 199 HP,4,Automatic Transmission,Yes,UAE (can be exported),,,https://uae.dubizzle.com/motors/used-cars/volkswagen/t-roc/2025/2/3/2350-pm-t-roc-r-line-0-downpayment-warrant-2-961---e57d72ed6af7460f9f69c4f4c59a5863/,5 Seater
Not Found,Not Found,Not Found,Not Found,,,,,,,,,,,,,https://uae.dubizzle.com/motors/used-cars/nissan/,
"AED 124,999",BMW X4 Other,2018,"78,000 km",SUV,Silver,4 door,Brown,Petrol,300 - 399 HP,6,Automatic Transmission,Yes,UAE (can be exported),Dealer,Left Hand,https://uae.dubizzle.com/motors/used-cars/bmw/x4/2024/9/9/2742-pm-x4-m40i-0-downpayment-excellent-co-2-999---f617796addf1488db3453ad763d94dc1/,
"AED 205,999",RAM 1500 Laramie Crew Cab,2025,0 km,Pick Up Truck,Black,4 door,Black,Petrol,400 - 499 HP,6,Automatic Transmission,Does not apply,Export Only,,,https://uae.dubizzle.com/motors/used-cars/ram/1500/2025/2/3/2025-ram-1500-laramie-sst-30tt-hurricane-g-2-138---b22a8c2beaa04531bdcb2454870614e1/,5 Seater
